Folio number,Guest Name,Pax,Child Pax,Source,Arrival,Dept,Nights,Room,cp_o,map_o,day_use_charges_o,late_check_outs_o,all_room_charges_o,room_rate_o,Commission_Rs,Financial Year,Month,Total Pax,Property,Room Type,Actual Rooms,Booking Category,CP,MAP,Day Use,Late Charges,Room Value,Total Revenue,Month Nights,Total Guest,Current Month Till Date Nights,Month UTD PAX,Month PAX,COMMISION,OTA Site,Occupied Nights  from today,Current Month Till Yes Sold nights
F2324FBABC43471,Neha Saxena,4,0,Online Portal,01-01-2024,02-01-2024,1,488-VIP Presidential,,,0,0,0,"13,957.00",883,FY 23-24,May-23,4,MH-001,Business Double,1,OTA,0,0,0,0,12947,12947,8,4,22,78,188,13831,Expedia,26,2
F2425FSABC63386,Abhishek Rao,3,0,Walk-in,17-06-2024,30-06-2024,13,5-359,,,0,0,0,"4,553.00",777,FY 24-25,Jan-24,3,UP-006,Deluxe Double,1,B2B,0,0,4076,0,58250,62326,19,50,25,91,187,13180,Expedia,12,27
F2425FAXYZ95383,Divya Gupta,4,3,Event Organizer,12-03-2024,26-03-2024,14,W702,,,0,1963,0,"8,799.00","5,836.00",FY 25-26,Feb-24,7,TN-005,Garden View Single,1,B2C,0,0,0,1674,27413,29087,19,28,13,77,155,14615,,22,14
F2425FAMNO15917,Priya Patel,5,3,Partner,26-12-2024,10-01-2025,15,T430,,,2417,0,0,"8,545.00","7,392.00",FY 24-25,Jun-26,8,TN-005,Premium Single,1,Travel Agency,0,0,0,0,36757,36757,6,13,18,15,147,13510,,8,7
F2425FWXYZ13177,Pooja Srivastava,4,0,Walk-in,28-07-2024,04-08-2024,7,S5603-D,,,0,0,0,"24,386.00",658,FY 23-24,Jul-25,4,KA-002,Garden View Single,1,Travel Agency,0,0,0,0,85455,85455,4,18,20,95,42,0,Booking.com,1,3
F2526FSKLA88016,Nikhil Patel,4,3,Event Organizer,20-12-2024,26-12-2024,6,RM1263,,,0,0,0,"3,896.00","6,179.00",FY 25-26,Apr-26,7,UP-006,Classic Queen,1,Travel Agency,0,0,0,0,80841,80841,24,14,19,48,175,6833,,27,4
F2425FMABC83052,Sakshi Gupta,2,0,Walk-in,23-07-2024,06-08-2024,14,2-613,,,3634,1153,"4,130.00","5,958.00","5,162.00",FY 24-25,Mar-23,2,TN-005,Business Double,1,B2B,0,0,0,1937,42399,44336,6,18,4,35,72,0,Booking.com,22,22
F2526FAMNP90268,Abhishek Sharma,4,3,Walk-in,25-07-2024,07-08-2024,13,457-VIP Presidential,,,0,0,0,"5,055.00","2,089.00",FY 25-26,Sep-24,7,KA-002,Studio Compact,1,Travel Agency,0,0,2646,0,74500,77146,28,15,14,44,165,0,Expedia,12,1
F2526FYXYZ57831,Manish Gupta,5,0,Direct Booking,19-04-2024,23-04-2024,4,RM8426,,,3265,0,"3,654.00","9,506.00","9,523.00",FY 25-26,Dec-23,5,KA-002,VIP Presidential,1,B2B,0,0,0,0,59657,59657,21,36,8,54,106,13919,Booking.com,8,29
F2526FSMNO86800,Zara Singh,1,0,Travel Agent,11-07-2024,25-07-2024,14,208-Garden View Single,,,0,0,0,"16,543.00","3,854.00",FY 23-24,Dec-23,1,DL-003,Luxury King,1,Corporate,0,0,0,0,68175,68175,4,2,21,26,71,13906,Agoda,30,11
F2324FAMNP98560,Gaurav Sharma,5,0,Walk-in,18-06-2024,27-06-2024,9,S4374-B,,,0,0,0,"26,840.00","9,894.00",FY 24-25,Feb-25,5,DL-003,Mountain Deluxe,1,B2B,0,0,0,0,7270,7270,28,19,12,64,67,0,,22,21
F2324FASTU16735,Pooja Sinha,3,0,Partner,18-07-2024,28-07-2024,10,1-266,,,0,1250,0,"10,346.00","6,915.00",FY 25-26,Aug-25,3,UP-006,Premium Single,1,Travel Agency,0,0,0,683,24542,25225,16,41,19,40,35,3129,,15,13
F2526FMMNO62715,Priya Dwivedi,5,0,Online Portal,11-03-2024,26-03-2024,15,RM1534,,,1972,0,0,"4,117.00","4,174.00",FY 23-24,Mar-26,5,KA-002,Studio Compact,1,OTA,0,0,0,0,79019,79019,2,4,25,34,167,5568,Goibibo,23,4
F2324FAVWX31859,Pooja Singh,3,3,Corporate,27-01-2024,05-02-2024,9,RM4621,,,0,0,"8,985.00","3,542.00",504,FY 25-26,Oct-26,6,UP-006,Business Double,1,Corporate,0,0,0,0,8741,8741,26,49,10,53,200,0,,26,11
F2324FWABC29976,Nisha Dwivedi,2,0,Travel Agent,23-04-2024,03-05-2024,10,RM9972,,,0,0,"4,595.00","4,058.00","4,747.00",FY 25-26,Jan-23,2,MH-001,Studio Compact,1,B2C,0,0,0,0,70334,70334,29,35,9,47,95,12346,Agoda,30,19
F2324FMABC90424,Vikram Verma,3,0,Travel Agent,27-07-2024,05-08-2024,9,1-634,,,0,0,0,"23,570.00","2,609.00",FY 24-25,Mar-23,3,TN-005,Mountain Deluxe,1,Corporate,0,0,0,0,43920,43920,8,47,19,27,103,13936,Booking.com,5,23
F2324FMABC81943,Zara Sharma,3,0,Event Organizer,08-01-2024,17-01-2024,9,RM4428,,,0,0,0,"16,231.00","1,180.00",FY 25-26,Apr-23,3,MH-001,Classic Queen,1,OTA,0,0,0,0,68485,68485,1,41,2,67,96,0,Yatra,25,2
F2425FMVWX62134,Karan Mishra,3,0,Walk-in,17-05-2024,27-05-2024,10,R735,,,0,0,0,"4,765.00","7,111.00",FY 23-24,Aug-25,3,UP-006,Premium Single,1,Travel Agency,0,0,0,0,36940,36940,1,45,18,81,125,2142,Booking.com,20,22
F2425FAABC53448,Meera Menon,1,2,Event Organizer,04-03-2024,09-03-2024,5,S8383-C,,,0,538,0,"25,279.00","2,101.00",FY 25-26,Oct-26,3,MH-001,Premium Single,1,Corporate,0,0,0,0,36811,36811,5,45,10,37,103,0,MakeMyTrip,13,12
F2526FAVWX64853,Aryan Pandey,4,1,Email Inquiry,21-08-2024,31-08-2024,10,RM2586,,,0,0,0,"26,507.00","3,600.00",FY 23-24,Apr-26,5,KA-002,Standard Twin,1,B2C,0,0,0,1157,68421,69578,24,13,15,4,176,0,Agoda,3,28
F2526FYVWX23160,Akshay Mishra,4,0,Walk-in,26-01-2024,04-02-2024,9,Z310,,,0,0,0,"11,840.00","4,635.00",FY 24-25,Sep-24,4,KA-002,Executive Suite,1,B2B,0,0,0,0,22684,22684,18,19,6,21,85,0,,23,18
F2526FYMNP88372,Rajesh Sharma,3,0,Email Inquiry,26-01-2024,28-01-2024,2,S7256-B,,,0,607,"5,539.00","21,104.00","3,676.00",FY 24-25,Mar-25,3,GJ-004,VIP Presidential,1,B2C,0,0,0,0,56385,56385,9,33,17,89,111,7551,Agoda,27,28
F2526FBABC94922,Gaurav Menon,2,3,Phone Reservation,12-07-2024,18-07-2024,6,O699,,,2886,0,0,"16,062.00","5,970.00",FY 24-25,Nov-25,5,UP-006,Business Double,1,Corporate,0,0,4039,0,74557,78596,19,38,6,99,36,5538,Yatra,11,6
F2425FASTU21404,Vikram Singh,4,0,Corporate,11-10-2024,15-10-2024,4,S8352-B,,,0,0,0,"7,026.00","6,852.00",FY 23-24,Sep-23,4,UP-006,Luxury King,1,Travel Agency,0,0,4575,0,5647,10222,12,18,21,78,150,11628,Goibibo,24,13
F2425FSKLA29595,Ritika Menon,3,2,Travel Agent,25-02-2024,05-03-2024,9,340-Garden View Single,,,0,0,0,"4,506.00","6,229.00",FY 23-24,Aug-23,5,KA-002,Luxury King,1,OTA,0,0,0,0,87630,87630,1,34,18,14,63,0,,7,18
F2526FWMNO83301,Sneha Saxena,1,0,Partner,26-08-2024,03-09-2024,8,105-VIP Presidential,,,0,0,0,"5,926.00","8,741.00",FY 24-25,Jul-23,1,UP-006,Luxury King,1,Corporate,0,0,0,1226,59543,60769,22,15,7,82,73,7033,Booking.com,2,11
F2526FSABC66748,Aryan Saxena,3,0,Travel Agent,21-03-2024,29-03-2024,8,148-Luxury King,,,0,0,0,"7,924.00","7,121.00",FY 23-24,Dec-23,3,GJ-004,Mountain Deluxe,1,B2B,0,0,0,0,90735,90735,19,1,9,87,179,10298,Expedia,13,6
F2425FMKLA12753,Pooja Sinha,3,1,Event Organizer,22-08-2024,30-08-2024,8,306-Ocean View Double,,,0,1488,"4,758.00","15,424.00","9,625.00",FY 23-24,Mar-26,4,DL-003,Luxury King,1,OTA,0,0,0,0,56423,56423,28,29,7,65,28,3557,Yatra,8,5
F2324FAMNO67699,Divya Sinha,1,0,Event Organizer,08-08-2024,13-08-2024,5,4-179,,,0,0,0,"6,105.00","1,231.00",FY 24-25,Jun-23,1,DL-003,Studio Compact,1,B2B,0,0,3974,0,85941,89915,28,34,0,81,65,14512,Yatra,19,13
F2425FYXYZ33629,Rajesh Iyer,2,0,Online Portal,23-10-2024,04-11-2024,12,355-Classic Queen,,,0,797,0,"13,019.00","7,637.00",FY 24-25,Oct-25,2,GJ-004,Deluxe Double,1,B2C,0,0,0,0,82986,82986,17,14,16,86,26,13497,Booking.com,24,19
F2324FAABC95707,Vikram Yadav,2,3,Online Portal,16-07-2024,22-07-2024,6,3-445,,,0,0,0,"14,149.00","8,759.00",FY 23-24,Oct-24,5,GJ-004,Deluxe Double,1,B2C,0,0,0,628,86201,86829,27,34,1,87,123,0,,3,26
F2324FWABC42669,Divya Menon,2,0,Email Inquiry,09-09-2024,24-09-2024,15,289-Deluxe Double,,,0,0,0,"14,090.00","7,927.00",FY 23-24,May-25,2,UP-006,Ocean View Double,1,B2C,0,0,1162,0,51992,53154,21,45,6,9,91,3164,Yatra,12,0
F2425FBVWX37686,Vikram Maurya,1,2,Event Organizer,16-10-2024,24-10-2024,8,4-285,,,0,0,0,"22,336.00","9,194.00",FY 23-24,Jun-26,3,KA-002,Mountain Deluxe,1,Travel Agency,0,0,0,0,98716,98716,24,26,25,6,170,0,Goibibo,3,3
F2526FWMNO19069,Rajesh Gupta,1,1,Partner,15-05-2024,23-05-2024,8,RM8053,,,0,0,"1,785.00","11,464.00","6,428.00",FY 23-24,Feb-23,2,KA-002,Executive Suite,1,B2C,0,0,0,1872,64041,65913,9,42,4,23,23,8572,,3,8
F2526FYPQR72188,Divya Sinha,1,0,Partner,19-05-2024,22-05-2024,3,RM5121,,,3485,0,"7,559.00","22,742.00","6,082.00",FY 24-25,Jun-26,1,TN-005,Mountain Deluxe,1,B2C,0,0,0,0,42771,42771,8,18,21,20,187,0,Yatra,13,26
F2425FYVWX20705,Sakshi Kumar,3,0,Online Portal,02-07-2024,09-07-2024,7,L560,,,0,0,"2,486.00","14,219.00","7,407.00",FY 25-26,Sep-23,3,KA-002,Mountain Deluxe,1,OTA,0,0,0,886,13219,14105,25,29,9,43,98,0,,4,25
F2425FBMNP83050,Pooja Pandey,4,0,Reference,20-10-2024,03-11-2024,14,4-218,,,0,0,0,"11,277.00",720,FY 25-26,Jan-25,4,DL-003,Executive Suite,1,B2B,0,0,0,1974,78155,80129,15,41,15,64,50,12644,Booking.com,29,7
F2324FSXYZ22150,Isha Bhat,2,0,Online Portal,07-06-2024,14-06-2024,7,1-630,,,0,1076,0,"8,621.00","8,408.00",FY 24-25,Aug-25,2,GJ-004,Studio Compact,1,B2C,0,0,0,0,11115,11115,21,18,14,30,20,8529,MakeMyTrip,4,25
F2425FYKLA21848,Manish Sharma,3,3,Partner,15-09-2024,30-09-2024,15,I219,,,0,0,0,"6,130.00","8,283.00",FY 23-24,Mar-24,6,DL-003,Standard Twin,1,B2B,0,0,4818,0,32695,37513,13,17,6,89,72,0,Yatra,25,8
F2526FBABC73955,Akshay Menon,2,3,Online Portal,08-04-2024,15-04-2024,7,RM9481,,,0,0,0,"4,373.00","5,585.00",FY 24-25,Dec-24,5,DL-003,Standard Twin,1,B2B,0,0,0,0,75699,75699,30,16,12,20,76,4933,,29,1
F2526FSABC65441,Priya Patel,4,0,Online Portal,19-03-2024,31-03-2024,12,S2722-B,,,0,0,0,"5,642.00","5,766.00",FY 24-25,Aug-23,4,UP-006,Ocean View Double,1,B2B,0,0,1231,0,70299,71530,25,23,8,99,28,10818,Agoda,1,23
F2324FMMNP42710,Swati Reddy,4,0,Corporate,02-07-2024,09-07-2024,7,S6795-D,,,0,0,0,"10,326.00","2,007.00",FY 25-26,Mar-26,4,TN-005,Executive Suite,1,B2C,0,0,0,0,73404,73404,15,48,2,36,123,9605,,30,0
F2526FYABC87530,Sneha Srivastava,5,1,Phone Reservation,11-07-2024,20-07-2024,9,G292,,,0,0,0,"6,263.00","6,551.00",FY 24-25,Oct-23,6,KA-002,Business Double,1,B2C,0,0,0,0,76354,76354,3,38,9,83,118,0,Goibibo,24,20
F2526FBSTU17214,Vikram Menon,3,0,Corporate,07-11-2024,18-11-2024,11,493-Ocean View Double,,,0,0,0,"14,110.00","3,666.00",FY 23-24,Jul-26,3,KA-002,Business Double,1,Corporate,0,0,0,1338,82815,84153,8,17,24,24,188,13864,Booking.com,16,0
F2526FBPQR23712,Harshit Patel,3,0,Online Portal,09-08-2024,16-08-2024,7,O801,,,1063,0,0,"11,528.00","6,352.00",FY 24-25,Dec-25,3,TN-005,VIP Presidential,1,Travel Agency,0,0,0,0,69059,69059,2,48,14,85,27,14592,Yatra,17,10
F2324FWSTU87582,Meera Pandey,1,0,Online Portal,14-04-2024,19-04-2024,5,3-750,,,0,0,0,"7,528.00","7,055.00",FY 24-25,Apr-26,1,MH-001,Studio Compact,1,B2C,0,0,0,0,11959,11959,9,29,24,11,184,3531,Yatra,26,15
F2425FAMNP34339,Pooja Gupta,5,0,Reference,21-11-2024,23-11-2024,2,S9539-D,,,0,0,0,"11,612.00","2,584.00",FY 24-25,Oct-23,5,UP-006,Ocean View Double,1,Travel Agency,0,0,0,0,86788,86788,30,10,20,63,151,0,Expedia,12,15
F2425FYSTU48574,Kavya Reddy,3,2,Partner,24-09-2024,25-09-2024,1,J111,,,0,0,"9,684.00","22,691.00","3,685.00",FY 25-26,Dec-23,5,KA-002,Studio Compact,1,OTA,0,0,0,0,93407,93407,24,3,14,58,192,5732,,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
